Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2006-08-14 00:00:00-04:00,8.146465301513672,8.146465301513672,8.146465301513672,8.146465301513672,0,0.0,0.0
2006-08-15 00:00:00-04:00,7.899601997911454,7.899601997911454,7.721861122465516,7.800857067108154,3600,0.0,0.0
2006-08-16 00:00:00-04:00,7.702112197875977,7.702112197875977,7.702112197875977,7.702112197875977,300,0.0,0.0
2006-08-17 00:00:00-04:00,7.702112583083528,7.702112583083528,7.5046222391680795,7.692237854003906,3400,0.0,0.0
2006-08-18 00:00:00-04:00,7.43550003645772,7.632989883422852,7.43550003645772,7.632989883422852,1000,0.0,0.0
2006-08-21 00:00:00-04:00,7.415751842169508,7.484873060548125,7.317006437309222,7.405877113342285,4500,0.0,0.0
2006-08-22 00:00:00-04:00,7.415751306971035,7.504621505737305,7.415751306971035,7.504621505737305,8800,0.0,0.0
2006-08-23 00:00:00-04:00,7.504622390126284,7.65274003332906,7.504622390126284,7.603367328643799,4500,0.0,0.0
2006-08-24 00:00:00-04:00,7.603367328643799,7.603367328643799,7.603367328643799,7.603367328643799,500,0.0,0.0
2006-08-25 00:00:00-04:00,7.415752180887023,7.702112738014322,7.415752180887023,7.603367328643799,800,0.0,0.0
2006-08-28 00:00:00-04:00,7.356504231022163,7.702112197875977,7.356504231022163,7.702112197875977,4200,0.0,0.0
2006-08-29 00:00:00-04:00,7.840355005694306,7.850229263305664,7.702112103164514,7.850229263305664,1500,0.0,0.0
2006-08-30 00:00:00-04:00,7.869978895275221,8.027971267700195,7.869978895275221,8.027971267700195,5500,0.0,0.0
2006-08-31 00:00:00-04:00,8.06746768951416,8.06746768951416,8.06746768951416,8.06746768951416,400,0.0,0.0
2006-09-01 00:00:00-04:00,7.889729981878023,8.383455276489258,7.889729981878023,8.383455276489258,2800,0.0,0.0
2006-09-05 00:00:00-04:00,8.156340718331611,8.699438639212444,8.156340718331611,8.492074012756348,3900,0.0,0.0
2006-09-06 00:00:00-04:00,8.492074012756348,8.492074012756348,8.492074012756348,8.492074012756348,0,0.0,0.0
2006-09-07 00:00:00-04:00,8.817931700018079,8.985798330536447,8.393327759094435,8.877178192138672,12300,0.0,0.0
2006-09-08 00:00:00-04:00,8.86730217542904,9.084541478977346,8.78830623626709,8.78830623626709,108000,0.0,0.0
2006-09-11 00:00:00-04:00,9.173413276672363,9.173413276672363,9.173413276672363,9.173413276672363,500,0.0,0.0
2006-09-12 00:00:00-04:00,9.13391473938774,9.13391473938774,8.709310833940572,8.847554206848145,17900,0.0,0.0
2006-09-13 00:00:00-04:00,8.788306511129441,8.936424607970038,8.65993881225586,8.65993881225586,47100,0.0,0.0
2006-09-14 00:00:00-04:00,8.65993881225586,8.65993881225586,8.65993881225586,8.65993881225586,0,0.0,0.0
2006-09-15 00:00:00-04:00,8.926549600653443,8.975922298056133,8.78830623626709,8.78830623626709,11000,0.0,0.0
2006-09-18 00:00:00-04:00,8.985797025877845,8.985797025877845,8.669812327524161,8.78830623626709,5400,0.0,0.0
2006-09-19 00:00:00-04:00,8.975922349569258,9.05491828918457,8.975922349569258,9.05491828918457,4200,0.0,0.0
2006-09-20 00:00:00-04:00,8.857429582484002,9.035169998688595,8.857429582484002,9.025296211242676,16000,0.0,0.0
2006-09-21 00:00:00-04:00,9.133913146124947,9.133913146124947,8.867301175246313,8.88705062866211,12200,0.0,0.0
2006-09-22 00:00:00-04:00,9.124040218854379,9.133914947509766,9.124040218854379,9.133914947509766,1000,0.0,0.0
2006-09-25 00:00:00-04:00,9.133915935058509,9.133915935058509,9.015422003500316,9.084543228149414,2400,0.0,0.0
2006-09-26 00:00:00-04:00,8.985799005210911,9.133916188339386,8.916676836939017,9.005547523498535,17600,0.0,0.0
2006-09-27 00:00:00-04:00,9.005544524039578,9.035167762457503,8.877175901954212,8.88705062866211,52800,0.0,0.0
2006-09-28 00:00:00-04:00,8.985798756037282,9.133915935058509,8.985798756037282,9.084543228149414,50600,0.0,0.0
2006-09-29 00:00:00-04:00,9.124041205335478,9.124041205335478,9.084543228149414,9.084543228149414,10000,0.0,0.0
2006-10-02 00:00:00-04:00,9.133916016089639,9.133916016089639,8.985798835754395,8.985798835754395,7100,0.0,0.0
2006-10-03 00:00:00-04:00,9.133914947509766,9.133914947509766,9.114165490198994,9.133914947509766,22900,0.0,0.0
2006-10-04 00:00:00-04:00,9.0450452848748,9.124041239543098,9.035170555114746,9.035170555114746,1900,0.0,0.0
2006-10-05 00:00:00-04:00,9.124040603637695,9.124040603637695,9.124040603637695,9.124040603637695,100,0.0,0.0
2006-10-06 00:00:00-04:00,9.12404019050218,9.183287620544434,9.08454221770933,9.183287620544434,46200,0.0,0.0
2006-10-09 00:00:00-04:00,9.193161753783086,9.341278906737127,9.12403959959276,9.222784996032715,6100,0.0,0.0
2006-10-10 00:00:00-04:00,9.232659304991797,9.380776451223513,9.133913913033421,9.282031059265137,16100,0.0,0.0
2006-10-11 00:00:00-04:00,9.627639797596878,9.627639797596878,9.400526695416003,9.578267097473145,4900,0.0,0.0
2006-10-12 00:00:00-04:00,9.775757404665011,9.81525537823454,9.528894834428966,9.785632133483887,31700,0.0,0.0
2006-10-13 00:00:00-04:00,9.874504419532805,9.953500379552578,9.578269098605595,9.696763038635254,4600,0.0,0.0
2006-10-16 00:00:00-04:00,9.894252700705382,9.894252700705382,9.726386070251465,9.726386070251465,6300,0.0,0.0
2006-10-17 00:00:00-04:00,9.874502208355127,9.904125451302535,9.825129508972168,9.825129508972168,5300,0.0,0.0
2006-10-18 00:00:00-04:00,9.914000153066626,9.923874881258053,9.874502182006836,9.874502182006836,2700,0.0,0.0
2006-10-19 00:00:00-04:00,9.874502182006836,9.874502182006836,9.874502182006836,9.874502182006836,5100,0.0,0.0
2006-10-20 00:00:00-04:00,9.874502182006836,10.11149000836558,9.874502182006836,9.874502182006836,16800,0.0,0.0
2006-10-23 00:00:00-04:00,10.486721232268435,10.486721232268435,9.38077709793737,9.825129508972168,14600,0.0,0.0
2006-10-24 00:00:00-04:00,9.825129508972168,9.874502208355127,9.825129508972168,9.825129508972168,14900,0.0,0.0
2006-10-25 00:00:00-04:00,9.835004237189942,9.835004237189942,9.825129508972168,9.825129508972168,1000,0.0,0.0
2006-10-26 00:00:00-04:00,9.825129174295817,9.874501871996978,9.509145415737796,9.736258506774902,26500,0.0,0.0
2006-10-27 00:00:00-04:00,9.558520579453715,9.726387229922263,9.558520579453715,9.696763038635254,6500,0.0,0.0
2006-10-30 00:00:00-05:00,9.86462745381541,9.874502182006836,9.86462745381541,9.874502182006836,1400,0.0,0.0
2006-10-31 00:00:00-05:00,9.923875932325151,10.674338403650793,9.923875932325151,10.575592994689941,1600,0.0,0.0
2006-11-01 00:00:00-05:00,10.486721853723516,10.516345098426433,10.012746171652969,10.101615905761719,5800,0.0,0.0
