Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2006-08-14 00:00:00-04:00,9.171952746451732,9.26157378061677,9.102082693445626,9.120845794677734,199476896,0.0,0.0
2006-08-15 00:00:00-04:00,9.236388981717965,9.423036783389945,9.199107633690524,9.405754089355469,268932260,0.0,0.0
2006-08-16 00:00:00-04:00,9.467724599795455,9.590428711165913,9.43414803427757,9.572405815124512,235005569,0.0,0.0
2006-08-17 00:00:00-04:00,9.539570169447606,9.628696776678959,9.478588209548581,9.525003433227539,203969673,0.0,0.0
2006-08-18 00:00:00-04:00,9.537597345994667,9.556854860789667,9.400326460502935,9.464764595031738,198830482,0.0,0.0
2006-08-21 00:00:00-04:00,9.334899333334869,9.357119540065197,9.263795617137399,9.31514835357666,161535213,0.0,0.0
2006-08-22 00:00:00-04:00,9.32576352912529,9.36353740389563,9.254412141517276,9.33958911895752,167188323,0.0,0.0
2006-08-23 00:00:00-04:00,9.323540749651883,9.339095364907434,9.200589901217649,9.219600677490234,146238089,0.0,0.0
2006-08-24 00:00:00-04:00,9.244537296127636,9.292927334104082,9.190714392083933,9.227007865905762,139822131,0.0,0.0
2006-08-25 00:00:00-04:00,9.210959515994997,9.266263765423334,9.196640459106495,9.21540355682373,99037832,0.0,0.0
2006-08-28 00:00:00-04:00,9.27342305243604,9.40526294708252,9.258362847495569,9.40526294708252,167184308,0.0,0.0
2006-08-29 00:00:00-04:00,9.401066122821337,9.439087682915382,9.312679703027383,9.35588550567627,179068687,0.0,0.0
2006-08-30 00:00:00-04:00,9.362304215645965,9.496613342101368,9.345022462059964,9.400325775146484,162382376,0.0,0.0
2006-08-31 00:00:00-04:00,9.418594725150042,9.4348895429907,9.337368314909115,9.345515251159668,118839777,0.0,0.0
2006-09-01 00:00:00-04:00,9.406250458310952,9.413409514713214,9.312432125479873,9.347243309020996,107316747,0.0,0.0
2006-09-05 00:00:00-04:00,9.378596183261944,9.515126816313536,9.31860305856248,9.489450454711914,163582859,0.0,0.0
2006-09-06 00:00:00-04:00,9.433654435067893,9.460565414655777,9.373412675337756,9.38526439666748,149522354,0.0,0.0
2006-09-07 00:00:00-04:00,9.366747448164892,9.425012499366712,9.317615321317499,9.344527244567871,154256030,0.0,0.0
2006-09-08 00:00:00-04:00,9.300826957433088,9.401311812606279,9.300826957433088,9.328725814819336,123798294,0.0,0.0
2006-09-11 00:00:00-04:00,9.338850662151634,9.497600604613902,9.326753150621823,9.482787132263184,181847062,0.0,0.0
2006-09-12 00:00:00-04:00,9.5052546381522,9.696099818466086,9.502291943506352,9.67560863494873,218503948,0.0,0.0
2006-09-13 00:00:00-04:00,9.755844717277862,10.042483933934005,9.754611049269773,10.037793159484863,392192544,0.0,0.0
2006-09-14 00:00:00-04:00,9.981748544714577,10.030632993232695,9.923235813855044,9.973848342895508,215448538,0.0,0.0
2006-09-15 00:00:00-04:00,10.06026153258581,10.123711781511465,10.041991899386012,10.119515419006348,314703180,0.0,0.0
2006-09-18 00:00:00-04:00,10.122477043974616,10.337023735268025,10.109390709209668,10.23826789855957,285333506,0.0,0.0
2006-09-19 00:00:00-04:00,10.257278327852818,10.258018528659953,9.696344135607546,9.96965217590332,573858932,0.0,0.0
2006-09-20 00:00:00-04:00,10.05087819446439,10.058038195356495,9.742759930565935,9.801519393920898,367283528,0.0,0.0
2006-09-21 00:00:00-04:00,9.88299561685091,10.084210214214872,9.872132719029876,10.044708251953125,429287065,0.0,0.0
2006-09-22 00:00:00-04:00,9.998537153945398,10.05951910768116,9.909162876800137,9.968910217285156,186681114,0.0,0.0
2006-09-25 00:00:00-04:00,10.013351242669764,10.108896701309629,9.93730908231029,9.973848342895508,230352192,0.0,0.0
2006-09-26 00:00:00-04:00,10.011377050606486,10.065199960860138,9.919286793254074,10.045201301574707,212369039,0.0,0.0
2006-09-27 00:00:00-04:00,10.031126516085996,10.152596964592876,9.934098764643522,9.947678565979004,235949093,0.0,0.0
2006-09-28 00:00:00-04:00,9.976318234104372,10.047916358458851,9.88891875971972,9.963973045349121,205061752,0.0,0.0
